Image, nth, axis, time, TP, FP, FN, TN
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 2, -1, 0.852011, 622972, 11682, 170, 2149956
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 2, 0, 0.427729, 620630, 3867, 2512, 2157771
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 2, 1, 0.402411, 619329, 5069, 3813, 2156569
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 2, 2, 0.419444, 594296, 15923, 28846, 2145715
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 3, -1, 0.835316, 622369, 14825, 773, 2146813
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 3, 0, 0.271391, 616870, 5086, 6272, 2156552
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 3, 1, 0.368512, 614744, 7298, 8398, 2154340
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 3, 2, 0.249382, 571305, 24195, 51837, 2137443
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 4, -1, 0.601233, 621585, 14476, 1557, 2147162
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 4, 0, 0.259623, 615499, 5962, 7643, 2155676
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 4, 1, 0.265929, 610555, 8041, 12587, 2153597
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 4, 2, 0.266123, 558158, 23754, 64984, 2137884
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 5, -1, 0.618237, 620864, 22525, 2278, 2139113
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 5, 0, 0.24918, 612361, 7259, 10781, 2154379
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 5, 1, 0.237239, 607285, 10098, 15857, 2151540
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 5, 2, 0.203083, 506914, 27948, 116228, 2133690
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 6, -1, 0.639498, 620090, 21382, 3052, 2140256
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 6, 0, 0.210375, 609934, 8057, 13208, 2153581
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 6, 1, 0.280515, 603320, 12404, 19822, 2149234
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 6, 2, 0.132516, 480050, 24543, 143092, 2137095
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 7, -1, 0.541624, 619460, 26898, 3682, 2134740
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 7, 0, 0.206189, 608581, 10556, 14561, 2151082
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 7, 1, 0.25898, 598100, 15833, 25042, 2145805
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 7, 2, 0.112852, 456964, 28339, 166178, 2133299
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 8, -1, 0.504975, 618943, 27712, 4199, 2133926
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 8, 0, 0.204156, 609135, 12218, 14007, 2149420
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 8, 1, 0.23501, 596998, 15448, 26144, 2146190
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c2l.mha, 8, 2, 0.164558, 460500, 24404, 162642, 2137234
